"visit_date","visitors_count","total_cost","utm_source","utm_medium","utm_campaign","leads_count","purchases_count","revenue"
"2023-06-01",103,21654,yandex,cpc,freemium,100,25,1654810
"2023-06-01",78,57138,yandex,cpc,prof-frontend,73,12,1057000
"2023-06-01",62,33026,yandex,cpc,prof-python,61,7,613196
"2023-06-01",31,12524,yandex,cpc,base-python,28,7,476021
"2023-06-01",71,2028,vk,cpc,prof-python,40,5,355564
"2023-06-01",80,3160,vk,cpc,freemium-frontend,43,5,338083
"2023-06-01",49,29490,yandex,cpc,prof-java,49,4,284590
"2023-06-01",40,18061,yandex,cpc,base-frontend,39,3,268515
"2023-06-01",51,3115,vk,cpc,prof-java,23,2,232726
"2023-06-01",14,10086,yandex,cpc,prof-data-analytics,14,2,220264
"2023-06-01",13,4818,yandex,cpc,prof-professions-brand,13,3,154287
"2023-06-20",3,0,telegram,cpp,base-java,1,1,151192
"2023-06-01",4,5964,yandex,cpc,dod-php,4,1,150255
"2023-06-01",4,151,yandex,cpc,base-professions-retarget,4,1,134100
"2023-06-07",3,0,vk,social,hexlet-blog,1,1,84000
